CPU,,,,"GPU (NVIDIA Tegra X1, 3960MiB)",,,
Pre-process [s],Inference[s],NM[s],TOT[s],Pre-process [s],Inference[s],NM[s],TOT[s]
0.0322329733371735,1.90584555363655,0.00598060154914856,1.94405912852287,0.0222342772483826,0.176899765491486,0.0139266221523285,0.213060664892197
0.0224585561752319,0.794524574518204,0.00538157415390015,0.822364704847336,0.00823852491378784,0.0559944934844971,0.00773763298988342,0.0719706513881683
0.0158882436752319,1.46945911169052,0.00388958168029785,1.48923693704605,/,/,/,/
0.00628802990913391,0.366037411689758,0.00293665552139282,0.375262097120285,/,/,/,/
0.0318377623558044,"1,1681045","0,007126138","1,207068401",0.021821501493454,0.0779081757068634,0.00940541672706604,0.109135093927383
0.0117311811447144,0.514760775327683,0.00544968342781067,0.531941639900207,0.00778461909294128,0.0375047526359558,0.00653657841682434,0.0518259501457214
0.0160466208457947,0.559951535463333,0.00351582551002502,0.579513981819153,/,/,/,/
0.00611671805381775,0.142189667224884,0.00280269765853882,0.151109082937241,/,/,/,/
0.0183794341087341,2.4225453441143,0.00725672745704651,2.44818150568008,0.00567110991477966,0.203723444461822,0.0134232788085937,0.222817833185196
0.00711519289016724,0.947700061798096,0.00332522320747375,0.958140477895737,0.002266921043396,0.0656790585517883,0.00770985341072083,0.0756558330059052
0.00774391198158264,2.32316666746139,0.00379310250282288,2.3347036819458,/,/,/,/
0.00242279481887817,0.588352310180664,0.00268211674690247,0.593457221746445,/,/,/,/
0.0186205251216888,1.41289962100983,0.00702461719512939,1.43854476332664,0.00571959280967712,0.09077525639534,0.00904237961769104,0.105537228822708
0.00852199792861939,0.642820024251938,0.00380096173286438,0.655142983913422,0.00215534114837646,0.0412571222782135,0.00563419842720032,0.0490466618537903
0.00775745606422424,0.962030258893967,0.00387567043304443,0.973663385391235,/,/,/,/
0.00243884444236755,0.241074781656265,0.00283661961555481,0.246350245714188,/,/,/,/
0.0185171003341675,2.51491366028786,0.00740191459655762,2.54083267521858,0.00570079517364502,0.221011105060577,0.0144972140789032,0.241209114313126
0.00706559133529663,0.917365891456604,0.00337218332290649,0.927803666114807,0.00223916029930115,0.0738607752323151,0.0085198540687561,0.0846197896003723
0.00766170382499695,2.57225003457069,0.00378579020500183,2.58369752860069,/,/,/,/
0.00263709855079651,0.647854273557663,0.0027229688167572,0.653214340925217,/,/,/,/
0.0204360570907593,1.49766673254967,0.00771133041381836,1.52581412005425,0.0056227433681488,0.0940147235393524,0.00980697321891785,0.109444440126419
0.00805005264282227,0.623691156148911,0.00353673243522644,0.635277941226959,0.00214535403251648,0.0378289685249329,0.00593976950645447,0.0459140920639038
0.00776707291603088,1.01688535428047,0.00374435567855835,1.02839678287506,/,/,/,/
0.00249360513687134,0.255800609827042,0.00291420459747314,0.261208419561386,/,/,/,/
